2026-09-03 03:25:04Z
Can view with text editor or Excel (tab-delimited text file). If you open in Excel, save immediately with a new name so you don't block this file being re-written by a new mission.
ID	Name	AttackingArmy	OwnerArmy	IsEnabled	MOObjectiveType	MOTriggerType	IsPrimaryTarget	PrimaryTargetWeight	Points	Destroyed	Pos.x	Pos.y	Sector	RadarEffectiveRadius	TriggerName	TriggerType	TriggerPercent	TriggerDestroyRadius	StaticPercentageRequired	StaticRemoveDelay_sec	StaticRemoveSpread_sec	Comment	HUDMessage	LOGMessage	StaticNames	StaticRemoveNames
WestgateRadar	Westgate Radar	2	1	True	Radar	PointArea	False	30	5	Destroyed: False	Scouted: False	244791	262681	AX26.2.8	25000	WestgateRadar	PointArea	100	150	0	0	0		Blue destroyed Westgate Radar	Heavy damage to Westgate Radar - out of action about 48 hours. Good job Blue!!!		
EastbourneRadar	Eastbourne Radar	2	1	True	Radar	PointArea	False	10	5	Destroyed: False	Scouted: True	178778	197444	AQ19.9.2	25000	EastbourneRadar	PointArea	100	200	0	0	0		Blue destroyed Eastbourne Radar	Heavy damage to Eastbourne Radar - out of action about 48 hours. Good job Blue!!!		
LittleHamptonRadar	Littlehampton Radar	2	1	True	Radar	PointArea	False	10	5	Destroyed: False	Scouted: True	123384	196295	AL19.5.7	35000	LittleHamptonRadar	PointArea	100	200	0	0	0		Blue destroyed Littlehampton Radar	Heavy damage to Littlehampton Radar - out of action about 48 hours. Good job Blue!!!		
VentorRadar	Ventnor Radar	2	1	True	Radar	PointArea	False	10	5	Destroyed: False	Scouted: True	70423	171706	AG17.1.4	35000	VentorRadar	PointArea	100	200	0	0	0		Blue destroyed Ventnor Radar	Heavy damage to Ventnor Radar - out of action about 48 hours. Good job Blue!!!		
RAFRadarHQ	Radar Communications Center	2	1	True	Radar	PointArea	False	40	14	Destroyed: False	Scouted: False	180207	288435	AR28.7.4	20000	RAFRadarHQ	PointArea	100	250	0	0	0		Blue destroyed Radar Communications Center	Heavy damage to Radar Communications Center - out of action about 168 hours. Good job Blue!!!		
RAFRadarFallback	Radar Communications Fallback Center	2	1	True	Radar	PointArea	False	60	14	Destroyed: False	Scouted: False	181861	288173	AR28.7.5	20000	RAFRadarFallback	PointArea	100	130	0	0	0		Blue destroyed Radar Communications Fallback Center	Heavy damage to Radar Communications Fallback Center - out of action about 168 hours. Good job Blue!!!		
PooleRadar	Radar Poole	2	1	True	Radar	PointArea	False	5	6	Destroyed: False	Scouted: False	15645	170552	AA17.2.3	35000	PooleRadar	PointArea	100	200	0	0	0		Blue destroyed Radar Poole	Heavy damage to Radar Poole - out of action about 48 hours. Good job Blue!!!		
StapleRadar	Staple Reserve Radar	2	1	True	Radar	PointArea	False	80	6	Destroyed: False	Scouted: False	240457	249567	AX24.7.7	35000	StapleRadar	PointArea	100	375	0	0	0		Blue destroyed Staple Reserve Radar	Heavy damage to Staple Reserve Radar - out of action about 72 hours. Good job Blue!!!		
DoverRadar	Dover Radar	1	2	True	Radar	PointArea	False	50	5	Destroyed: False	Scouted: True	246777	235751	AX23.6.7	25000	DoverRadar	PointArea	100	200	0	0	0		Red destroyed Dover Radar	Heavy damage to Dover Radar - out of action about 48 hours. Good job Red!!!		
DealRadar	Deal Radar	1	2	True	Radar	PointArea	False	50	5	Destroyed: True	Scouted: True	249454	247913	AX24.9.6	25000	DealRadar	PointArea	100	200	0	0	0		Red destroyed Deal Radar	Heavy damage to Deal Radar - out of action about 48 hours. Good job Red!!!		
