 >>> BOTH ARMIES RADAR CONTACTS <<< 
p10d9467ce3f870ca0a78a9669706fa29
259486.399490507,184072.944039769,50.6674552599488,1.5026364573701,2,F,89,321,16,AZ18,2,Bf-109E-4,-1356308771,
260429.021272443,183104.655792663,50.6587179546282,1.51595342551398,2,F,6,318,16,AZ18,1,Bf-109E-4,578525833,
249923.019236053,177975.709135882,50.6124830554601,1.36758378950274,2,F,10,318,16,AY17,1,Bf-109E-4,885058221,
248524.7508843,175339.921206011,50.5887514341856,1.34784718677205,2,F,0,318,16,AY17,2,Bf-109E-4,960862857,
266762.820926822,182615.916849187,50.6543089115659,1.60545481368009,2,F,14,319,16,AZ18,1,Bf-109E-4,2137111139,
266015.347040424,181810.666905823,50.6470460880511,1.59489079652652,2,F,16,318,16,AZ18,2,Bf-109E-4,-995056743,
262578.864629683,179372.691347826,50.6250686850515,1.54632859772923,2,F,322,226,14,AZ18,2,Bf-109E-4,864521572,
251098.572579539,170506.036312409,50.5452761594113,1.38417881037188,2,F,344,317,16,AY17,2,Bf-109E-4,269250925,
255993.370155431,174809.627120097,50.5839791181821,1.45329623239185,2,F,301,316,16,AY17,2,Bf-109E-4,-319708156,
263595.373107131,176999.132843607,50.6036881413634,1.56069226827793,2,F,32,319,16,AZ17,3,Bf-109E-4,955593742,
257291.443545557,173478.515637999,50.5720031780972,1.47163046009842,2,F,336,317,16,AY17,3,Bf-109E-4,72679590,
267450.323354368,175885.313783892,50.5936604034231,1.61517160044307,2,F,16,320,16,AZ17,1,Bf-109E-4,-1384166920,
259657.580801881,171138.514137871,50.5509612421051,1.50505477199699,2,F,302,316,16,AZ17,1,Bf-109E-4,-684846389,
264622.464974552,173678.504098978,50.5738021714687,1.5752063459142,2,F,48,320,16,AZ17,1,Bf-109E-4,-1927561926,
260096.491137331,168207.377095863,50.5246225444678,1.51125548093465,2,F,259,316,16,AZ16,1,Bf-109E-4,1846394632,
262746.06085976,166408.112502294,50.5084646091792,1.54869108732198,2,F,235,316,16,AZ16,2,Bf-109E-4,-1067183413,
314155.307156459,166918.836257902,50.5130503133725,2.27535541318041,1,F,102,300,16,BE16,1,BeaufighterMkIF,-1204855596,
306052.977529121,47468.0646404333,49.4436393265965,2.16089562991639,2,B,93,227,13,BD4,16,Do-215B-1,-49266462,
323546.908908298,52757.3870492034,49.4913821962196,2.40793292789581,2,F,106,232,13,BF5,9,Bf-109E-3,-858550942,
332736.550866701,124092.586032522,50.1299733462932,2.53753065770806,2,F,122,322,17,BG12,3,Bf-109E-4,396796037,
284241.059655175,120517.316040559,50.0980680261455,1.85255036678569,2,F,64,335,2,BB12,2,Bf-109E-3,1227186832,
