 >>> BOTH ARMIES RADAR CONTACTS <<< 
pmum
322623.776569316,110663.008939779,50.0101326379095,2.39490681952963,2,F,100,310,4,BF11,~2,,-1423939688,
280672.487105296,113655.839599153,50.0368404125407,1.80209311290977,2,F,70,220,8,BB11,~2,,-1163420468,
326110.3249028,112428.493262976,50.0258879245583,2.44409785399734,2,B,100,130,1,BF11,~2,,406012867,
323939.400999176,107928.442555438,49.9857272515594,2.41347090522936,2,F,100,130,4,BF10,~2,,1305009203,
318332.320512274,107702.437062105,49.9837100733843,2.33433504990205,2,F,70,130,4,BE10,~2,,-241800975,
319082.652294427,105836.150898692,49.9670519123085,2.34492743527388,2,F,30,130,4,BF10,~2,,-1258747473,
294019.010031883,141620.748096649,50.2864892082656,1.99079995036382,2,F,290,190,2,BC14,~2,,-1401003277,
339082.876910886,119069.042458065,50.0851444406731,2.62693998332334,2,F,280,130,4,BH12,~2,,161483552,
323905.681052979,114839.40064446,50.047401934747,2.41299513338282,2,F,320,130,4,BF11,~2,,46885105,
304997.150372325,127928.927028097,50.1642128913715,2.14597573781231,2,F,310,190,2,BD12,~2,,-1439515734,
316506.023473998,111336.173901356,50.0161400996083,2.30855028651429,2,F,230,130,4,BE11,~2,,1593695283,
316598.915555193,111476.598203412,50.0173932587706,2.30986189459192,2,F,230,130,4,BE11,~2,,2085069057,
313675.721412665,114324.418774652,50.0428065112099,2.26858230528898,2,F,260,130,4,BE11,~2,,-2004527658,
280624.056800184,126798.378061887,50.1541220570356,1.80140835006414,2,F,170,220,8,BB12,~2,,1571710096,
